node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
212644,14,23,-79.0,3.0,8.0,114.99399508278452,44.0,4G,Operator B,101.6077843,3.07343843,3.752753019,5.710765498533158,8.30008733330156,205.60107488462168,260.99563093726977,212644,2025-01-27T13:24:24Z
212644,16,49,-79.0,3.0,9.0,94.565337349385,4.0,4G,Operator B,101.6077843,3.07343843,3.752753019,5.710765498533158,8.30008733330156,205.60107488462168,260.99563093726977,212644,2025-02-20T12:57:15Z
212660,9,32,-86.0,-4.0,10.0,47.2901576297059,41.5,4G,Operator B,101.5987009,3.06389682,0.149824142,0.7154723639003069,1.9178344269131968,25.152941102097977,831.2956939867638,212660,2024-12-31T11:09:55Z
212660,14,2,-94.5,-3.0,6.0,108.74165220469388,18.0,4G,Operator B,101.5987009,3.06389682,0.149824142,0.7154723639003069,1.9178344269131968,25.152941102097977,831.2956939867638,212660,2025-01-27T14:04:28Z
212660,17,8,-89.0,3.5,12.0,277.0240758868133,29.0,4G,Operator B,101.5987009,3.06389682,0.149824142,0.7154723639003069,1.9178344269131968,25.152941102097977,831.2956939867638,212660,2025-03-06T11:43:07Z
212677,9,28,-75.0,11.0,8.5,67.89117441231585,0.0,4G,Operator B,101.5921331,3.057131570000001,2.444796801,1.3118491620908863,2.568395893451678,214.11452977312325,393.23415651037976,212677,2024-12-31T11:04:26Z
212677,17,31,-79.0,8.0,7.0,67.9079668588782,3.0,4G,Operator B,101.5921331,3.057131570000001,2.444796801,1.3118491620908863,2.568395893451678,214.11452977312325,393.23415651037976,212677,2025-03-06T11:46:04Z
215945,3,47,-84.0,9.0,9.0,85.26533898352596,21.0,4G,Operator B,101.6002329,3.06259778,2.456338644,9.76201721000733,9.998727753556084,146.20386713561714,881.1254503831514,215945,2024-12-10T12:04:36Z
215945,14,102,-86.0,12.0,9.0,602.489747903102,22.0,4G,Operator B,101.6002329,3.06259778,2.456338644,9.76201721000733,9.998727753556084,146.20386713561714,881.1254503831514,215945,2025-01-27T13:57:12Z
216175,3,15,-86.0,5.0,9.0,169.16374963268058,26.0,4G,Operator B,101.6027379,3.06062655,5e-05,15.317646148924055,21.841922497346665,71.50737445747902,667.4249954324264,216175,2024-12-10T12:04:18Z
216175,9,7,-79.0,6.0,8.0,513.2430848707099,31.0,4G,Operator B,101.6027379,3.06062655,5e-05,15.317646148924055,21.841922497346665,71.50737445747902,667.4249954324264,216175,2024-12-31T11:09:40Z
216175,14,91,-90.0,7.0,9.0,138.88494100221405,24.0,4G,Operator B,101.6027379,3.06062655,5e-05,15.317646148924055,21.841922497346665,71.50737445747902,667.4249954324264,216175,2025-01-27T13:58:03Z
701673,14,25,-100.0,-5.0,9.0,51.05436255072484,15.0,4G,Operator B,101.6121157,3.07427344,13.221951485,10.56768714298804,14.05483975259885,575.4307754568313,194.15045624251837,701673,2025-01-27T13:47:33Z
701684,1,192,-79.0,8.0,10.0,185.7963979251348,3.0,4G,Operator C,101.6107273,3.07073902,1.324341774,2.8623209682180843,3.1496735009709473,308.66111521610605,501.70791851017174,701684,2024-12-03T11:45:19Z
701684,3,277,-80.0,3.0,9.0,186.50373104716184,20.0,5G,Operator B,101.6107273,3.07073902,1.324341774,2.8623209682180843,3.1496735009709473,308.66111521610605,501.70791851017174,701684,2024-12-10T11:37:57Z
